Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time))
et/Main_Sentinel_padding_ralert,0,1,DT_r,0.7767044399034,0.657583752485761,0.694888183285826,0.657583752485761,0.671764167391422,0.742314116934744,0.135572910308838,0.001252174377441,0.136825084686279
et/Main_Sentinel_padding_ralert,0,2,DT_r,0.778097715028794,0.649316331024239,0.691801159384035,0.649316331024239,0.665637696563024,0.744024919020181,0.132020950317383,0.001142978668213,0.133163928985596
et/Main_Sentinel_padding_ralert,0,3,DT_r,0.777519739897817,0.661106464503502,0.701283445685078,0.661106464503502,0.676284758986307,0.744080382791686,0.131078243255615,0.001144886016846,0.132223129272461
et/Main_Sentinel_padding_ralert,0,4,DT_r,0.774640037157455,0.648758687762672,0.706477498516663,0.648758687762672,0.67038130039274,0.740224146643271,0.13105320930481,0.001156091690063,0.132209300994873
et/Main_Sentinel_padding_ralert,0,5,DT_r,0.782814677194612,0.659463059972935,0.711444403160336,0.659463059972935,0.676527727860794,0.749723957285744,0.131541967391968,0.001121044158936,0.132663011550903
et/Main_Sentinel_padding_ralert,0,6,DT_r,0.782164421737111,0.66745900068104,0.702061561992748,0.66745900068104,0.679648094879631,0.749796969608488,0.131118059158325,0.001748085021973,0.132866144180298
et/Main_Sentinel_padding_ralert,0,7,DT_r,0.771110078959591,0.649374327132282,0.679178932528841,0.649374327132282,0.659217231466649,0.736839831213327,0.130670070648193,0.001353979110718,0.132024049758911
et/Main_Sentinel_padding_ralert,0,8,DT_r,0.783836507199257,0.666954331722378,0.712025148675879,0.666954331722378,0.683304705506654,0.751534606507097,0.132936954498291,0.001268863677979,0.13420581817627
et/Main_Sentinel_padding_ralert,0,9,DT_r,0.779098931723177,0.656199025800286,0.699399592341647,0.656199025800286,0.672076689108625,0.745080374681064,0.133177757263184,0.001152038574219,0.134329795837402
et/Main_Sentinel_padding_ralert,0,10,DT_r,0.779098931723177,0.645380636608895,0.6903525913672,0.645380636608895,0.660377329771957,0.74467558015828,0.130640029907227,0.001236200332642,0.131876230239868
et/Main_Sentinel_padding_ralert,1,1,DT_r,0.779026565112391,0.649283549939155,0.693350393798006,0.649283549939155,0.662791002827301,0.74406781867845,0.133460998535156,0.001002073287964,0.13446307182312
et/Main_Sentinel_padding_ralert,1,2,DT_r,0.776425784878321,0.654998121875394,0.704054312452983,0.654998121875394,0.670645507626532,0.741650359321551,0.133543968200684,0.001175880432129,0.134719848632812
et/Main_Sentinel_padding_ralert,1,3,DT_r,0.780399442638179,0.667944604868289,0.714789029900324,0.667944604868289,0.685452681700046,0.747227441179519,0.131222009658813,0.001144886016846,0.132366895675659
et/Main_Sentinel_padding_ralert,1,4,DT_r,0.781978634463539,0.662359814276482,0.704282065248575,0.662359814276482,0.677448584231575,0.749721389895868,0.129730939865112,0.001114845275879,0.130845785140991
et/Main_Sentinel_padding_ralert,1,5,DT_r,0.783557826288899,0.660247180694154,0.71472904681258,0.660247180694154,0.678383052466661,0.750043249853807,0.130967855453491,0.000974178314209,0.1319420337677
et/Main_Sentinel_padding_ralert,1,6,DT_r,0.780120761727822,0.65725074140819,0.698433238588743,0.65725074140819,0.673378639138667,0.746444015019662,0.131781816482544,0.001234292984009,0.133016109466553
et/Main_Sentinel_padding_ralert,1,7,DT_r,0.775476079888528,0.660482361995108,0.713682590861311,0.660482361995108,0.675944423800352,0.740883129161614,0.133134126663208,0.001188993453979,0.134323120117188
et/Main_Sentinel_padding_ralert,1,8,DT_r,0.775754760798885,0.651479225218829,0.71660207902699,0.651479225218829,0.674700508680763,0.74255480026975,0.134234189987183,0.001195907592773,0.135430097579956
et/Main_Sentinel_padding_ralert,1,9,DT_r,0.785137018114259,0.646685105135928,0.689764101390841,0.646685105135928,0.661093225371968,0.753283598491834,0.131442308425903,0.001185655593872,0.132627964019775
et/Main_Sentinel_padding_ralert,1,10,DT_r,0.775568973525314,0.647021729981185,0.698442586143662,0.647021729981185,0.664180749772573,0.742012875966167,0.13070821762085,0.001182317733765,0.131890535354614
et/Main_Sentinel_padding_ralert,2,1,DT_r,0.781348690321382,0.655923177117613,0.70792657205921,0.655923177117613,0.674253905060142,0.74839335608279,0.131763935089111,0.001172065734863,0.132936000823975
et/Main_Sentinel_padding_ralert,2,2,DT_r,0.777633289986996,0.659771311933694,0.716975168831423,0.659771311933694,0.680124324231342,0.743038817893803,0.13310694694519,0.001156806945801,0.134263753890991
et/Main_Sentinel_padding_ralert,2,3,DT_r,0.780771017185323,0.649956612482642,0.692061310778316,0.649956612482642,0.665160425438454,0.747992902449147,0.131597995758057,0.001219749450684,0.13281774520874
et/Main_Sentinel_padding_ralert,2,4,DT_r,0.781792847189968,0.658333527152974,0.716315423199891,0.658333527152974,0.676954021714436,0.748617732221628,0.132020950317383,0.001149892807007,0.13317084312439
et/Main_Sentinel_padding_ralert,2,5,DT_r,0.77408267533674,0.643523693049802,0.688733573592605,0.643523693049802,0.660835215123192,0.738888927730139,0.132431745529175,0.001185178756714,0.133616924285889
et/Main_Sentinel_padding_ralert,2,6,DT_r,0.781792847189968,0.654603485568548,0.709846214859894,0.654603485568548,0.67145888419127,0.749151688878152,0.129497289657593,0.001153707504272,0.130650997161865
et/Main_Sentinel_padding_ralert,2,7,DT_r,0.776126335346029,0.645126333317582,0.698895028678772,0.645126333317582,0.662811945341029,0.742037767059367,0.132204055786133,0.001237154006958,0.133441209793091
et/Main_Sentinel_padding_ralert,2,8,DT_r,0.788666976312123,0.66437906848453,0.699378447228388,0.66437906848453,0.677067688269371,0.755495215791536,0.131763935089111,0.00108003616333,0.132843971252441
et/Main_Sentinel_padding_ralert,2,9,DT_r,0.780771017185323,0.660702523458919,0.708005650384386,0.660702523458919,0.676342840004353,0.748365398749679,0.134687900543213,0.001290082931519,0.135977983474731
et/Main_Sentinel_padding_ralert,2,10,DT_r,0.776405016256386,0.662154342882871,0.698921435615329,0.662154342882871,0.673985019802789,0.742705731459879,0.132415056228638,0.001162052154541,0.133577108383179
et/Main_Sentinel_padding_ralert,3,1,DT_r,0.771688649451978,0.6397333043848,0.687175523837967,0.6397333043848,0.655403971555572,0.737131597666781,0.132477045059204,0.00122594833374,0.133702993392944
et/Main_Sentinel_padding_ralert,3,2,DT_r,0.783206390488575,0.660772083665646,0.7070004808204,0.660772083665646,0.675953680186328,0.750735821451937,0.131552934646606,0.001160144805908,0.132713079452515
et/Main_Sentinel_padding_ralert,3,3,DT_r,0.782164421737111,0.659810059104092,0.717065043207769,0.659810059104092,0.680286900528743,0.748765974889938,0.131753921508789,0.001228094100952,0.132982015609741
et/Main_Sentinel_padding_ralert,3,4,DT_r,0.773339526242452,0.650715154768357,0.680851283832923,0.650715154768357,0.661425244906612,0.739818795547819,0.133899927139282,0.001172065734863,0.135071992874146
et/Main_Sentinel_padding_ralert,3,5,DT_r,0.780956804458895,0.656782130665755,0.69112470970418,0.656782130665755,0.669588298424447,0.747883888375,0.131651878356934,0.001244068145752,0.132895946502686
et/Main_Sentinel_padding_ralert,3,6,DT_r,0.784115188109614,0.664915795419495,0.727203228416903,0.664915795419495,0.688114190652388,0.750497081349028,0.133414030075073,0.001081705093384,0.134495735168457
et/Main_Sentinel_padding_ralert,3,7,DT_r,0.784022294472829,0.658424385315364,0.69401230943975,0.658424385315364,0.669857586198426,0.750926057636707,0.132376194000244,0.001273155212402,0.133649349212646
et/Main_Sentinel_padding_ralert,3,8,DT_r,0.774547143520669,0.651983965355642,0.697126078925794,0.651983965355642,0.667979129345048,0.739867041797278,0.133650064468384,0.00117301940918,0.134823083877563
et/Main_Sentinel_padding_ralert,3,9,DT_r,0.779377612633534,0.660982036977456,0.701672292750413,0.660982036977456,0.675551433119678,0.746262892241828,0.129436254501343,0.001132965087891,0.130569219589233
et/Main_Sentinel_padding_ralert,3,10,DT_r,0.782164421737111,0.653962812393974,0.70016198601986,0.653962812393974,0.671069307832848,0.748311662155958,0.130389928817749,0.001133918762207,0.131523847579956
et/Main_Sentinel_padding_ralert,4,1,DT_r,0.77911945012075,0.649362216544022,0.693387854926014,0.649362216544022,0.662843861836739,0.744173614073158,0.133599996566772,0.001111030578613,0.134711027145386
et/Main_Sentinel_padding_ralert,4,2,DT_r,0.776425784878321,0.655283458281037,0.702827509565898,0.655283458281037,0.670866024537529,0.741646956855543,0.134235858917236,0.001168966293335,0.135404825210571
et/Main_Sentinel_padding_ralert,4,3,DT_r,0.780120761727822,0.667843261956322,0.714608891821432,0.667843261956322,0.685308501189547,0.746907815184571,0.130281925201416,0.001195192337036,0.131477117538452
et/Main_Sentinel_padding_ralert,4,4,DT_r,0.781699953553182,0.662259410989655,0.704170182748445,0.662259410989655,0.677341954878442,0.749396020411479,0.131622791290283,0.001171827316284,0.132794618606567
et/Main_Sentinel_padding_ralert,4,5,DT_r,0.783557826288899,0.659865003211544,0.714857109321495,0.659865003211544,0.678204593492522,0.750042422865624,0.131938695907593,0.001245260238647,0.13318395614624
et/Main_Sentinel_padding_ralert,4,6,DT_r,0.780492336274965,0.657882257037635,0.698888384093631,0.657882257037635,0.673931715437335,0.746883139137264,0.132773876190186,0.001163959503174,0.133937835693359
et/Main_Sentinel_padding_ralert,4,7,DT_r,0.775568973525314,0.660530348630877,0.714185145857256,0.660530348630877,0.676303357047365,0.740991271472452,0.130567073822021,0.001121997833252,0.131689071655273
et/Main_Sentinel_padding_ralert,4,8,DT_r,0.775754760798885,0.651480808057137,0.716290163000991,0.651480808057137,0.674559993740193,0.742554573278725,0.134402990341187,0.001124143600464,0.13552713394165
et/Main_Sentinel_padding_ralert,4,9,DT_r,0.784765443567116,0.646395882406415,0.689571212031412,0.646395882406415,0.660866014829606,0.752843730858832,0.133758068084717,0.001081705093384,0.134839773178101
et/Main_Sentinel_padding_ralert,4,10,DT_r,0.775568973525314,0.646477293973778,0.696398920464203,0.646477293973778,0.66372815120412,0.742012251547359,0.132413148880005,0.001152038574219,0.133565187454224
et/Main_Sentinel_padding_ralert,5,1,DT_r,0.772338844510496,0.65762151911867,0.689719067768154,0.65762151911867,0.667822684760234,0.73828614640937,0.131471872329712,0.001278877258301,0.132750749588013
et/Main_Sentinel_padding_ralert,5,2,DT_r,0.778747910087312,0.649558687482851,0.698386288179501,0.649558687482851,0.667929870867789,0.744479472448592,0.132735967636108,0.001232147216797,0.133968114852905
et/Main_Sentinel_padding_ralert,5,3,DT_r,0.777612633534603,0.647583064723816,0.705842069819103,0.647583064723816,0.66139405509284,0.74396361935003,0.135417222976685,0.001251935958862,0.136669158935547
et/Main_Sentinel_padding_ralert,5,4,DT_r,0.778634463539248,0.667048625703272,0.70898789583931,0.667048625703272,0.683379376190585,0.745358731924554,0.131038904190063,0.001139879226685,0.132178783416748
et/Main_Sentinel_padding_ralert,5,5,DT_r,0.780956804458895,0.670717778822528,0.709357480649581,0.670717778822528,0.685650002253205,0.746476168992396,0.130311965942383,0.001165151596069,0.131477117538452
et/Main_Sentinel_padding_ralert,5,6,DT_r,0.785601486298189,0.647042229612788,0.691397138950996,0.647042229612788,0.662547576926562,0.752614319476898,0.131587743759155,0.001203298568726,0.132791042327881
et/Main_Sentinel_padding_ralert,5,7,DT_r,0.783743613562471,0.663238595838077,0.717279403462369,0.663238595838077,0.680699778263911,0.75081553956284,0.131282806396484,0.001229047775269,0.132511854171753
et/Main_Sentinel_padding_ralert,5,8,DT_r,0.774547143520669,0.649693666161222,0.692332461753684,0.649693666161222,0.664712896117644,0.740451146905269,0.130115032196045,0.001219987869263,0.131335020065308
et/Main_Sentinel_padding_ralert,5,9,DT_r,0.780306549001393,0.664198343134917,0.708068907712959,0.664198343134917,0.679719132418602,0.747437045353622,0.13291597366333,0.001163959503174,0.134079933166504
et/Main_Sentinel_padding_ralert,5,10,DT_r,0.775661867162099,0.650177870369475,0.69498612962044,0.650177870369475,0.665619612660929,0.741811306434159,0.132034063339233,0.001145839691162,0.133179903030396
et/Main_Sentinel_padding_ralert,6,1,DT_r,0.774475199702768,0.658502192048431,0.6976686747762,0.658502192048431,0.67353401010205,0.740442022259937,0.132414817810059,0.001199960708618,0.133614778518677
et/Main_Sentinel_padding_ralert,6,2,DT_r,0.780977150287944,0.651878835324197,0.704200705842651,0.651878835324197,0.671618587410532,0.747851968563563,0.131423950195312,0.00111985206604,0.132543802261353
et/Main_Sentinel_padding_ralert,6,3,DT_r,0.782443102647469,0.659816587535658,0.720517363399904,0.659816587535658,0.681444235692061,0.748828241444917,0.131927728652954,0.001200199127197,0.133127927780151
et/Main_Sentinel_padding_ralert,6,4,DT_r,0.77361820715281,0.64874800071125,0.712134159857271,0.64874800071125,0.66766223912059,0.73944193170822,0.131539106369019,0.001150846481323,0.132689952850342
et/Main_Sentinel_padding_ralert,6,5,DT_r,0.781792847189968,0.668536036190423,0.710695036099116,0.668536036190423,0.68355812466758,0.748650817580621,0.132569074630737,0.00123119354248,0.133800268173218
et/Main_Sentinel_padding_ralert,6,6,DT_r,0.772317696237808,0.662253899629386,0.685562288548178,0.662253899629386,0.669241497658806,0.738778676907078,0.132072925567627,0.001125812530518,0.133198738098145
et/Main_Sentinel_padding_ralert,6,7,DT_r,0.776219228982815,0.650696765347206,0.694087468687364,0.650696765347206,0.667361351709101,0.741329665178279,0.131783723831177,0.00117301940918,0.132956743240356
et/Main_Sentinel_padding_ralert,6,8,DT_r,0.778727357176034,0.664068703777478,0.695559160815466,0.664068703777478,0.675622119131647,0.745548652150792,0.134785890579224,0.001194953918457,0.135980844497681
et/Main_Sentinel_padding_ralert,6,9,DT_r,0.776962378077102,0.646071417940501,0.707242013160243,0.646071417940501,0.664708730751364,0.741875116613897,0.131976127624512,0.001128911972046,0.133105039596558
et/Main_Sentinel_padding_ralert,6,10,DT_r,0.781142591732466,0.646098062841841,0.697195085699112,0.646098062841841,0.66311970883761,0.748046294685582,0.13125205039978,0.001161098480225,0.132413148880005
et/Main_Sentinel_padding_ralert,7,1,DT_r,0.78190600037154,0.661649393509178,0.716341431357956,0.661649393509178,0.680141242792618,0.749181576680543,0.132304191589355,0.001210927963257,0.133515119552612
et/Main_Sentinel_padding_ralert,7,2,DT_r,0.776983094928478,0.654756462650158,0.697913953777064,0.654756462650158,0.668301307858503,0.743110901538496,0.131548166275024,0.001170873641968,0.132719039916992
et/Main_Sentinel_padding_ralert,7,3,DT_r,0.779656293543892,0.660901496417554,0.702983794099446,0.660901496417554,0.67646679240759,0.746627751912468,0.133986949920654,0.001236915588379,0.135223865509033
et/Main_Sentinel_padding_ralert,7,4,DT_r,0.778727357176034,0.656545151086755,0.694497938146388,0.656545151086755,0.669612967059722,0.744205641895879,0.132303953170776,0.001132011413574,0.133435964584351
et/Main_Sentinel_padding_ralert,7,5,DT_r,0.775940548072457,0.638927346338688,0.703397113011256,0.638927346338688,0.66203544055824,0.742200832469591,0.131341934204102,0.001090049743652,0.132431983947754
et/Main_Sentinel_padding_ralert,7,6,DT_r,0.785229911751045,0.655373476251773,0.702041808632254,0.655373476251773,0.671736403887769,0.751243921319347,0.129453897476196,0.00117015838623,0.130624055862427
et/Main_Sentinel_padding_ralert,7,7,DT_r,0.776497909893172,0.656429393904885,0.692983117979325,0.656429393904885,0.670701549670576,0.742846617538053,0.131259202957153,0.001129865646362,0.132389068603516
et/Main_Sentinel_padding_ralert,7,8,DT_r,0.77835578262889,0.653431036913758,0.701072212226177,0.653431036913758,0.671363580088784,0.745075992698209,0.13267993927002,0.001150131225586,0.133830070495605
et/Main_Sentinel_padding_ralert,7,9,DT_r,0.775383186251742,0.6503945119926,0.694579622042624,0.6503945119926,0.665592861441597,0.741344673381218,0.131829977035522,0.001128911972046,0.132958889007568
et/Main_Sentinel_padding_ralert,7,10,DT_r,0.781328379006038,0.668969517035201,0.722288703113897,0.668969517035201,0.686933470798742,0.747947172927997,0.132949113845825,0.001172065734863,0.134121179580688
et/Main_Sentinel_padding_ralert,8,1,DT_r,0.77131710941854,0.651788375830719,0.695511367942912,0.651788375830719,0.668364306185564,0.736978293585299,0.129039764404297,0.001163005828857,0.130202770233154
et/Main_Sentinel_padding_ralert,8,2,DT_r,0.775589819803084,0.644822184376159,0.708404571411953,0.644822184376159,0.66400708575367,0.741112955898813,0.128835916519165,0.001154661178589,0.129990577697754
et/Main_Sentinel_padding_ralert,8,3,DT_r,0.780863910822109,0.657989880865777,0.697918770768117,0.657989880865777,0.672212954818183,0.746990511245624,0.131971120834351,0.001209735870361,0.133180856704712
et/Main_Sentinel_padding_ralert,8,4,DT_r,0.777055271713888,0.646750024693,0.7018151789067,0.646750024693,0.6648269488713,0.743991750660332,0.134481191635132,0.001146793365479,0.13562798500061
et/Main_Sentinel_padding_ralert,8,5,DT_r,0.779191825359963,0.661163428944144,0.702681761784233,0.661163428944144,0.675657268925057,0.746305445629819,0.13137698173523,0.001224040985107,0.132601022720337
et/Main_Sentinel_padding_ralert,8,6,DT_r,0.778541569902462,0.669807111024171,0.715584662265082,0.669807111024171,0.6863178034573,0.744493092164177,0.131076097488403,0.001123666763306,0.132199764251709
et/Main_Sentinel_padding_ralert,8,7,DT_r,0.776590803529958,0.663423695235999,0.706934947894518,0.663423695235999,0.680014897191043,0.743323940948562,0.13274097442627,0.00113582611084,0.133876800537109
et/Main_Sentinel_padding_ralert,8,8,DT_r,0.78783093358105,0.658235065814314,0.695449386425866,0.658235065814314,0.671936886757834,0.754951490785035,0.131919145584106,0.00114107131958,0.133060216903687
et/Main_Sentinel_padding_ralert,8,9,DT_r,0.785880167208546,0.661896956472668,0.703222169675705,0.661896956472668,0.676663431589345,0.752551057677546,0.131233930587769,0.001162052154541,0.13239598274231
et/Main_Sentinel_padding_ralert,8,10,DT_r,0.776683697166744,0.664310013652032,0.706977618541432,0.664310013652032,0.679364430712387,0.742858926557792,0.130944013595581,0.001134157180786,0.132078170776367
et/Main_Sentinel_padding_ralert,9,1,DT_r,0.77401077466097,0.644385236892689,0.734151735617722,0.644385236892689,0.673880589495961,0.740271053699892,0.132041931152344,0.00113582611084,0.133177757263184
et/Main_Sentinel_padding_ralert,9,2,DT_r,0.778376370053873,0.659459722052474,0.715509408240713,0.659459722052474,0.678927756815183,0.744336702379396,0.132401943206787,0.001163959503174,0.133565902709961
et/Main_Sentinel_padding_ralert,9,3,DT_r,0.780771017185323,0.664325884693236,0.707765389478559,0.664325884693236,0.681000972260009,0.747668485570321,0.139545202255249,0.001151084899902,0.140696287155151
et/Main_Sentinel_padding_ralert,9,4,DT_r,0.776126335346029,0.641044458826309,0.694379001419268,0.641044458826309,0.657342666295622,0.74247499991513,0.135092973709106,0.001174926757812,0.136267900466919
et/Main_Sentinel_padding_ralert,9,5,DT_r,0.784300975383186,0.667023650815413,0.70088160193477,0.667023650815413,0.678937603649893,0.751599158679962,0.12992000579834,0.001138925552368,0.131058931350708
et/Main_Sentinel_padding_ralert,9,6,DT_r,0.783557826288899,0.66430524251356,0.716823873812015,0.66430524251356,0.67998068902599,0.750613078439987,0.132168292999268,0.001192331314087,0.133360624313354
et/Main_Sentinel_padding_ralert,9,7,DT_r,0.778169995355318,0.650322538937672,0.722141916890692,0.650322538937672,0.675163467179705,0.743896291687579,0.131162166595459,0.001221179962158,0.132383346557617
et/Main_Sentinel_padding_ralert,9,8,DT_r,0.783000464468184,0.65216413389288,0.69283777558356,0.65216413389288,0.665745327050756,0.749204653294959,0.130374908447266,0.001200914382935,0.1315758228302
et/Main_Sentinel_padding_ralert,9,9,DT_r,0.777241058987459,0.658132841999514,0.702733022379171,0.658132841999514,0.672885821826498,0.743758111267029,0.133147954940796,0.001238107681274,0.13438606262207
et/Main_Sentinel_padding_ralert,9,10,DT_r,0.776962378077102,0.668626358846469,0.698864851240948,0.668626358846469,0.678502967325456,0.742842341968929,0.129687070846558,0.001167774200439,0.130854845046997
et/Main_Sentinel_padding_ralert,0,1,Random Forest R,0.776054244844882,0.661374778758752,0.693635063792542,0.661374778758752,0.671894463719615,0.741798313736818,1.957849025726318,0.087248802185059,2.045097827911377
et/Main_Sentinel_padding_ralert,0,2,Random Forest R,0.783113505480216,0.658461598543342,0.709396413081815,0.658461598543342,0.677010839914092,0.749775442396396,2.005311012268066,0.078495979309082,2.083806991577148
